Gene,,
RNF14,9604,38
UBE2Q1,55585,28
RNF17,56163,9
RNF10,9921,32
RNF11,26994,42
RNF13,11342,24
REM1,28954,12
REM2,161253,15
C16orf13,84326,7
UCHL5,51377,99
UBE2Q2,92912,20
MZT2A,653784,16
TSKS,60385,13
NDP,4693,91
PMM2,5373,68
PMM1,5372,28
ASS1,445,114
FHIT,2272,329
ZNF709,163051,4
ZNF708,7562,9
ZNF879,345462,6
ZNF878,729747,
DISC1,27185,256
CAMK1,8536,60
SPR,6697,45
LOC100653028,,
ZNF707,286075,13
ZNF706,51123,11
LOC100653310,,
ZNF704,619279,6
ZC3H10,84872,19
ZC3H13,23091,40
RNF115,27246,37
ZC3H15,55854,41
ZC3H14,79882,38
SPN,6693,85
HMGCLL1,545113,
IQCA1,79781,9
ZC3H18,124245,39
GRIN1,2902,216
PISD,23761,29
DHX8,1659,42
SP9,100131390,3
TCOF1,6949,113
NSRP1,84081,32
NUP98,4928,196
XPC,7508,355
SP1,6667,1072
XPA,7507,228
SP3,6670,201
NUP93,9688,79
SP5,389058,8
SP6,80320,11
CAMKV,79012,17
GOLIM4,27333,31
OPA3,80207,37
OPA1,4976,241
CREB3,10488,62
RAB40C,57799,20
RAB40B,10966,22
FAM162B,221303,6
COL7A1,1294,179
MDP1,145553,11
LOC100653312,,
GTSE1,51512,45
OVCH2,341277,3
OVCH1,341350,2
PSAP,5660,130
SPPL2A,84888,27
SPPL2C,162540,11
SPPL2B,56928,24
MYO3A,53904,31
ITGA9,3680,61
UGCG,7357,50
MYO3B,140469,17
ATP2A1,487,68
ATP2A2,488,241
ATP2A3,489,52
ITGA1,3672,137
ITGA2,3673,411
ITGA3,3675,225
ITGA4,3676,276
ITGA5,3678,388
ITGA6,3655,269
ITGA7,3679,57
LOC285556,,
DENND4A,10260,20
DENND4B,9909,9
DENND4C,55667,19
ELL3,80237,18
SWAP70,23075,31
RARRES1,5918,31
PHLDA1,22822,37
PHLDA3,23612,18
PHLDA2,7262,39
GAP43,2596,66
PAMR1,25891,8
FBXL13,222235,16
FBXL12,54850,32
FBXL15,79176,22
CYP27B1,1594,181
FBXL17,64839,24
FBXL16,146330,15
FAM169A,26049,8
FBXL18,80028,28
GHDC,84514,14
SDK1,221935,25
SDK2,54549,15
C9orf43,257169,9
GRP,2922,78
TPRN,286262,19
THSD4,79875,24
SZRD1,26099,11
HPCAL4,51440,
CHST9,83539,
COL4A6,1288,
COL4A5,1287,150
COL4A4,1286,95
COL4A3,1285,142
COL4A2,1284,
COL4A1,1282,211
GRN,2896,433
CHST2,9435,26
CHST5,23563,19
CHST4,10164,26
CHST7,56548,15
CHST6,4166,51
ITGAX,3687,105
BCL2A1,597,88
HLCS,3141,49
NOG,9241,97
ITGAV,3685,576
GPSM3,63940,27
ZNF703,80139,30
ITGAL,3683,196
ITGAM,3684,297
HLF,3131,39
NOV,4856,97
FAM134C,162427,17
LOC100653029,,
FAM134A,79137,18
ZNF700,90592,4
SMAD9,4093,49
TRERF1,55809,25
SMAD4,4089,684
SMAD5,4090,122
SMAD6,4091,91
SMAD7,4092,310
GOLPH3L,55204,21
SMAD1,4086,260
SMAD2,4087,554
CAMK4,814,81
RFK,55312,17
AMMECR1L,83607,11
IL1RAPL1,11141,41
TMPRSS11B,132724,11
IGF2R,3482,222
TMPRSS11D,9407,23
TMPRSS11E,28983,13
RAD21L1,642636,8
NECAP2,55707,26
RNF114,55905,45
SLC36A1,206358,46
HAP1,9001,45
RNF112,7732,10
ERICH2,285141,4
ERICH1,157697,6
C14orf119,55017,8
ART3,419,24
ART5,116969,9
ART4,420,25
HAUS7,55559,30
DRAP1,10589,41
TCEA2,6919,30
TCEA3,6920,14
TCEA1,6917,57
ABCD1,215,127
COX4I1,1327,67
MROH2B,133558,5
DUOXA2,405753,19
CRTAM,56253,15
ABCD2,225,28
